date,name,category,value
"Jan 1, 2022",Public Health,Beverages,137
"Jan 1, 2022",Environment,Technology,387
"Jan 1, 2022",Equitable Access to Environmental Goods,Business Services,175
"Jan 1, 2022",Social Welfare,Technology,461
"Jan 1, 2022",Politics and Global Governance,Technology,300
"Jan 1, 2022","Economy, Trade and Investment",Diversified,36
"Jan 1, 2022","Digital Governance, Privacy and Technology",Automotive,225
"Jan 1, 2022",Media and Public Opinion,Media,422
"Jan 1, 2022",Inclusive Development and Human Rights,Restaurants,436
"Jan 1, 2022",Employment & Social Development,Telecommunications,471
"Jan 1, 2022","Education, Skills & Competecies",Tobacco,299
"Jan 1, 2022",Climate Change & Resilience,Automotive,448
"Jan 1, 2022",Pollution,Electronics,290
"Jan 1, 2022",Natural Capital Use and Managment,Business Services,108
"Jan 1, 2022",Demographics,Automotive,47
"Jan 1, 2022",Urbanization and Smart Cities,Financial Services,119
"Jan 1, 2022",COVID-nineteen,FMCG,481
"Jan 2, 2022",Public Health,Electronics,277
"Jan 2, 2022",Environment,Financial Services,190
"Jan 2, 2022",Equitable Access to Environmental Goods,Automotive,365
"Jan 2, 2022",Social Welfare,Beverages,391
"Jan 2, 2022",Politics and Global Governance,Technology,451
"Jan 2, 2022","Economy, Trade and Investment",Business Services,469
"Jan 2, 2022","Digital Governance, Privacy and Technology",Technology,292
"Jan 2, 2022",Media and Public Opinion,Technology,212
"Jan 2, 2022",Inclusive Development and Human Rights,Diversified,283
"Jan 2, 2022",Employment & Social Development,Automotive,37
"Jan 2, 2022","Education, Skills & Competecies",Media,32
"Jan 2, 2022",Climate Change & Resilience,Restaurants,320
"Jan 2, 2022",Pollution,Telecommunications,224
"Jan 2, 2022",Natural Capital Use and Managment,Tobacco,488
"Jan 2, 2022",Demographics,Automotive,410
"Jan 2, 2022",Urbanization and Smart Cities,Electronics,322
"Jan 2, 2022",COVID-nineteen,Business Services,314
"Jan 3, 2022",Public Health,Automotive,402
"Jan 3, 2022",Environment,Financial Services,227
"Jan 3, 2022",Equitable Access to Environmental Goods,FMCG,173
"Jan 3, 2022",Social Welfare,Electronics,439
"Jan 3, 2022",Politics and Global Governance,Financial Services,72
"Jan 3, 2022","Economy, Trade and Investment",Automotive,391
"Jan 3, 2022","Digital Governance, Privacy and Technology",Beverages,464
"Jan 3, 2022",Media and Public Opinion,Technology,383
"Jan 3, 2022",Inclusive Development and Human Rights,Business Services,103
"Jan 3, 2022",Employment & Social Development,Technology,192
"Jan 3, 2022","Education, Skills & Competecies",Technology,348
"Jan 3, 2022",Climate Change & Resilience,Diversified,344
"Jan 3, 2022",Pollution,Automotive,32
"Jan 3, 2022",Natural Capital Use and Managment,Media,252
"Jan 3, 2022",Demographics,Restaurants,133
"Jan 3, 2022",Urbanization and Smart Cities,Telecommunications,237
"Jan 3, 2022",COVID-nineteen,Tobacco,302
"Jan 4, 2022",Public Health,Automotive,481
"Jan 4, 2022",Environment,Electronics,48
"Jan 4, 2022",Equitable Access to Environmental Goods,Business Services,488
"Jan 4, 2022",Social Welfare,Automotive,102
"Jan 4, 2022",Politics and Global Governance,Financial Services,196
"Jan 4, 2022","Economy, Trade and Investment",FMCG,414
"Jan 4, 2022","Digital Governance, Privacy and Technology",Electronics,494
"Jan 4, 2022",Media and Public Opinion,Financial Services,380
"Jan 4, 2022",Inclusive Development and Human Rights,Automotive,264
"Jan 4, 2022",Employment & Social Development,Beverages,61
"Jan 4, 2022","Education, Skills & Competecies",Technology,286
"Jan 4, 2022",Climate Change & Resilience,Business Services,349
"Jan 4, 2022",Pollution,Technology,126
"Jan 4, 2022",Natural Capital Use and Managment,Technology,117
"Jan 4, 2022",Demographics,Diversified,216
"Jan 4, 2022",Urbanization and Smart Cities,Automotive,185
"Jan 4, 2022",COVID-nineteen,Media,415
"Jan 5, 2022",Public Health,Restaurants,257
"Jan 5, 2022",Environment,Telecommunications,112
"Jan 5, 2022",Equitable Access to Environmental Goods,Tobacco,112
"Jan 5, 2022",Social Welfare,Automotive,154
"Jan 5, 2022",Politics and Global Governance,Electronics,89
"Jan 5, 2022","Economy, Trade and Investment",Business Services,311
"Jan 5, 2022","Digital Governance, Privacy and Technology",Automotive,252
